area_mean_px,area_median_px,budding_proxy_frac,cell_count,cell_density_per_Mpx,cell_gray_mean,cell_sat_mean,clustering_R,coverage_frac,file,focus_var,fov_area_px,fov_circularity,fov_r,height,method,scale,width
411.9,410.0,0.009,117,392.7,123.4,116.3,1.2314,0.1617,IMG_5070.jpg,139.9,297965,0.98,324.5,1100,cellpose,0.688,825
382.6,360.0,0.049,81,284.6,114.3,115.6,1.1346,0.1089,IMG_5071.jpg,64.8,284565,0.979,317.4,1100,cellpose,0.688,825
334.9,292.0,0.043,70,244.4,113.0,120.9,1.1129,0.0818,IMG_5072.jpg,61.0,286453,0.97,317.9,1100,cellpose,0.688,825
396.2,362.0,0.034,58,197.2,118.6,113.9,1.1018,0.0781,IMG_5073.jpg,99.0,294137,0.976,322.9,1100,cellpose,0.688,825
439.1,430.0,0.025,161,573.3,95.7,143.6,1.2623,0.2518,IMG_5074.jpg,78.6,280817,0.977,315.5,1100,cellpose,0.688,825
392.5,403.0,0.033,92,312.8,115.6,119.8,1.0947,0.1228,IMG_5075.jpg,108.1,294137,0.979,322.9,1100,cellpose,0.688,825
351.4,300.0,0.028,72,244.8,123.0,119.7,1.167,0.086,IMG_5076.jpg,93.6,294137,0.98,322.4,1100,cellpose,0.688,825
370.0,336.5,0.029,138,469.2,118.0,114.1,1.2337,0.1736,IMG_5077.jpg,118.4,294137,0.981,322.6,1100,cellpose,0.688,825
445.3,442.0,0.007,146,499.7,108.4,137.4,1.2822,0.2225,IMG_5078.jpg,112.8,292201,0.977,321.5,1100,cellpose,0.688,825
306.9,292.5,0.009,108,364.8,134.4,107.1,1.1604,0.112,IMG_5079.jpg,88.6,296025,0.976,323.4,1100,cellpose,0.688,825
403.3,400.5,0.011,88,303.2,118.2,121.4,1.0678,0.1223,IMG_5100.jpg,89.9,290273,0.979,320.7,1100,cellpose,0.688,825
411.4,392.0,0.02,149,509.9,114.4,128.9,1.1982,0.2098,IMG_5101.jpg,119.5,292201,0.977,321.9,1100,cellpose,0.688,825
445.1,427.0,0.02,147,506.4,112.1,134.8,1.2588,0.2254,IMG_5102.jpg,110.8,290273,0.978,320.7,1100,cellpose,0.688,825
393.6,387.5,0.012,166,571.9,115.7,127.4,1.2608,0.2251,IMG_5103.jpg,119.9,290273,0.98,320.6,1100,cellpose,0.688,825
406.5,384.0,0.02,149,513.3,114.7,129.7,1.2517,0.2087,IMG_5104.jpg,112.7,290273,0.977,320.7,1100,cellpose,0.688,825
351.8,340.0,0.041,97,332.0,119.2,120.8,1.0734,0.1168,IMG_5105.jpg,97.4,292201,0.98,321.2,1100,cellpose,0.688,825
434.0,432.0,0.007,136,459.4,112.0,139.2,1.1734,0.1994,IMG_5106.jpg,95.1,296025,0.981,323.3,1100,cellpose,0.688,825
313.2,278.0,0.065,77,265.3,122.3,117.9,0.9456,0.0831,IMG_5107.jpg,93.2,290273,0.977,321.0,1100,cellpose,0.688,825
328.2,304.0,0.063,79,270.4,122.9,116.7,0.9758,0.0887,IMG_5108.jpg,93.9,292201,0.977,321.4,1100,cellpose,0.688,825
346.2,315.0,0.057,106,365.2,116.9,124.1,1.093,0.1264,IMG_5109.jpg,102.7,290273,0.98,320.8,1100,cellpose,0.688,825
325.6,292.0,0.086,81,304.5,138.4,104.1,1.0813,0.0991,IMG_5110.jpg,50.9,266025,0.981,307.3,1100,cellpose,0.688,825
352.2,303.0,0.031,65,219.6,138.5,108.0,1.0373,0.0773,IMG_5111.jpg,76.6,296025,0.98,323.8,1100,cellpose,0.688,825
364.6,353.5,0.074,108,364.8,132.2,113.1,1.1016,0.133,IMG_5112.jpg,85.3,296025,0.978,324.0,1100,cellpose,0.688,825
423.4,406.0,0.011,177,613.7,118.5,131.8,1.2962,0.2598,IMG_5113.jpg,110.0,288413,0.98,319.7,1100,cellpose,0.688,825
415.9,399.5,0.006,168,567.5,116.3,133.7,1.2324,0.236,IMG_5114.jpg,98.3,296025,0.981,324.1,1100,cellpose,0.688,825
396.9,383.5,0.037,160,540.5,117.1,129.6,1.2007,0.2145,IMG_5115.jpg,108.7,296025,0.978,323.8,1100,cellpose,0.688,825
430.5,411.5,0.028,72,243.2,124.8,126.2,1.0898,0.1047,IMG_5116.jpg,78.7,296025,0.982,323.9,1100,cellpose,0.688,825
